name,vary_name,type,ve_est_mean,ve_est_sd,n_study_mean,pvac,pflu,ve,pnonflu,sympt,clin,test_clin,test_nonclin,sens_vac,spec_vac,sens_flu,spec_flu,prop,nsam
children,pvac--children-high,admin,0.4856278527480786,0.029171226799341057,14430.088,0.5,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,pvac--adults-high,surv,0.17559081436387747,0.11251696677667974,2401.554,0.05,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,pvac--all-low,surv,0.1723254609495465,0.11363880322262808,2408.852,0.05,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,pvac--elderly-high,surv,0.16974066383661057,0.11319845173701759,2406.044,0.05,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,pflu--adults-high,surv,0.2629130248065634,0.14487442568268866,1868.624,0.1,0.05,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,pflu--all-low,surv,0.2577896779406142,0.14520747948180293,1877.356,0.1,0.05,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,pflu--elderly-high,surv,0.2448954683611594,0.15346796532634785,1874.374,0.1,0.05,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,pflu--all-med,surv,0.26027428547737114,0.11226181590611926,2127.11,0.1,0.1,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,ve--adults-high,surv,0.04558408431125457,0.11748336973227863,2417.96,0.1,0.15,0.1,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,ve--all-low,surv,0.036365108432753805,0.11092611129051849,2424.814,0.1,0.15,0.1,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,ve--elderly-high,surv,0.04126861866233634,0.11866388454262208,2422.248,0.1,0.15,0.1,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
