name,vary_name,type,ve_est_mean,ve_est_sd,n_study_mean,pflu,pnonflu,sympt,clin,test_clin,test_nonclin,sens_vac,spec_vac,sens_flu,spec_flu,prop,pvac,ve,nsam
special_no,ve-pvac,admin,0.13715757447835697,0.006303063189102199,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.25,0.1,500000
special_no,ve-pvac,admin,0.262759093402923,0.005714206085865769,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.25,0.2,500000
special_no,ve-pvac,admin,0.3801309690076366,0.004862631393759527,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.25,0.30000000000000004,500000
special_no,ve-pvac,admin,0.4876263501658962,0.003988486809721955,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.25,0.4,500000
special_no,ve-pvac,admin,0.5881991522919735,0.003648146225009873,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.25,0.5,500000
special_no,ve-pvac,admin,0.681627240739444,0.002996253134663711,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.25,0.6,500000
special_no,ve-pvac,admin,0.7691452578288009,0.002430971844382466,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.25,0.7000000000000001,500000
special_no,ve-pvac,admin,0.8510905853614616,0.001899678428008833,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.25,0.8,500000
special_no,ve-pvac,admin,0.9277888656283116,0.0011865635849581527,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.25,0.9,500000
special_no,ve-pvac,admin,0.13684904462935138,0.005937741810797474,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.3,0.1,500000
special_no,ve-pvac,admin,0.26374588560485673,0.005225747857589397,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.3,0.2,500000
special_no,ve-pvac,admin,0.3799571258186968,0.004410663108564449,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.3,0.30000000000000004,500000
special_no,ve-pvac,admin,0.48771544897981955,0.003885503729282951,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.3,0.4,500000
special_no,ve-pvac,admin,0.5883422962784955,0.0034350038606802496,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.3,0.5,500000
special_no,ve-pvac,admin,0.6818714299687854,0.0028026427219878074,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.3,0.6,500000
special_no,ve-pvac,admin,0.7693133124921085,0.0021178926360837427,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.3,0.7000000000000001,500000
special_no,ve-pvac,admin,0.851052922862009,0.0017467755666949827,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.3,0.8,500000
special_no,ve-pvac,admin,0.9278484846192266,0.001157731739097661,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.3,0.9,500000
special_no,ve-pvac,admin,0.1369311662232712,0.005799021354350004,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.35000000000000003,0.1,500000
special_no,ve-pvac,admin,0.2630792902851383,0.00524292986042566,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.35000000000000003,0.2,500000
special_no,ve-pvac,admin,0.3799044927368501,0.004337256665659373,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.35000000000000003,0.30000000000000004,500000
special_no,ve-pvac,admin,0.4879324380969724,0.003657826436631145,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.35000000000000003,0.4,500000
special_no,ve-pvac,admin,0.5880213543129382,0.003113588122887794,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.35000000000000003,0.5,500000
special_no,ve-pvac,admin,0.6816841545829774,0.002597730078447991,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.35000000000000003,0.6,500000
special_no,ve-pvac,admin,0.7691181708359718,0.00214655005233881,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.35000000000000003,0.7000000000000001,500000
special_no,ve-pvac,admin,0.8511306958998821,0.0016148280750682435,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.35000000000000003,0.8,500000
special_no,ve-pvac,admin,0.9277775120918045,9.999285648166836e-4,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.35000000000000003,0.9,500000
special_no,ve-pvac,admin,0.13685895065322556,0.005425118417317563,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.4,0.1,500000
special_no,ve-pvac,admin,0.26311169174341104,0.004631362447899062,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.4,0.2,500000
special_no,ve-pvac,admin,0.37979808610593097,0.004161365972859327,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.4,0.30000000000000004,500000
special_no,ve-pvac,admin,0.4876790364477213,0.003789233455151091,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.4,0.4,500000
special_no,ve-pvac,admin,0.5885534982624243,0.0030571160316862672,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.4,0.5,500000
special_no,ve-pvac,admin,0.6820058195488519,0.0025939192143417033,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.4,0.6,500000
special_no,ve-pvac,admin,0.7692328646018153,0.002055230818628992,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.4,0.7000000000000001,500000
special_no,ve-pvac,admin,0.8509666351554485,0.001512095760381466,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.4,0.8,500000
special_no,ve-pvac,admin,0.927836960264197,0.001000466643380258,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.4,0.9,500000
special_no,ve-pvac,admin,0.13684186965985812,0.005542966466443296,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.45,0.1,500000
special_no,ve-pvac,admin,0.2632530673058712,0.004635267829735411,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.45,0.2,500000
special_no,ve-pvac,admin,0.37988708745754335,0.004065459362152433,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.45,0.30000000000000004,500000
special_no,ve-pvac,admin,0.48810142687693325,0.003515429779467527,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.45,0.4,500000
special_no,ve-pvac,admin,0.5882248111039629,0.002916771362383948,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.45,0.5,500000
special_no,ve-pvac,admin,0.6817116160224193,0.0024623462598554603,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.45,0.6,500000
special_no,ve-pvac,admin,0.7694212583317008,0.0019754076316094954,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.45,0.7000000000000001,500000
special_no,ve-pvac,admin,0.8510254585872308,0.0014971292017687116,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.45,0.8,500000
special_no,ve-pvac,admin,0.9278697137289936,9.493990605009547e-4,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.45,0.9,500000
special_no,ve-pvac,admin,0.13690466637245674,0.005066910208880432,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.5,0.1,500000
special_no,ve-pvac,admin,0.2629523380565929,0.004621671229278967,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.5,0.2,500000
special_no,ve-pvac,admin,0.37998517685583905,0.004106669463503904,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.5,0.30000000000000004,500000
special_no,ve-pvac,admin,0.488070804837741,0.003488138759213428,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.5,0.4,500000
special_no,ve-pvac,admin,0.5883345865975752,0.002921681789072108,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.5,0.5,500000
special_no,ve-pvac,admin,0.6816451702992392,0.0022620128793916236,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.5,0.6,500000
special_no,ve-pvac,admin,0.7693434034474891,0.001998861482019618,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.5,0.7000000000000001,500000
special_no,ve-pvac,admin,0.8510334751721012,0.0013686658693161091,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.5,0.8,500000
special_no,ve-pvac,admin,0.9277909603744425,8.75644019750108e-4,500000,0.3,0.3,1,1,1,1,1,1,1,1,1,0.5,0.9,500000
special_no,ve-pvac,surv,0.099538436074611,0.015999899575961735,299236.916,0.3,0.3,1,1,1,1,1,1,1,1,1,0.05,0.1,500000
special_no,ve-pvac,surv,0.19970592584693747,0.014901034192705496,298497.618,0.3,0.3,1,1,1,1,1,1,1,1,1,0.05,0.2,500000
special_no,ve-pvac,surv,0.2983772380013006,0.011944934866254526,297753.546,0.3,0.3,1,1,1,1,1,1,1,1,1,0.05,0.30000000000000004,500000
special_no,ve-pvac,surv,0.3997085156553198,0.011831026865596077,297011.964,0.3,0.3,1,1,1,1,1,1,1,1,1,0.05,0.4,500000
special_no,ve-pvac,surv,0.500119794440319,0.010450583092303048,296234.76,0.3,0.3,1,1,1,1,1,1,1,1,1,0.05,0.5,500000
special_no,ve-pvac,surv,0.5994880098477872,0.008738197690701449,295515.598,0.3,0.3,1,1,1,1,1,1,1,1,1,0.05,0.6,500000
special_no,ve-pvac,surv,0.6999147243592392,0.007444959865451082,294743.924,0.3,0.3,1,1,1,1,1,1,1,1,1,0.05,0.7000000000000001,500000
special_no,ve-pvac,surv,0.8000888953662051,0.005598273698889852,293993.824,0.3,0.3,1,1,1,1,1,1,1,1,1,0.05,0.8,500000
special_no,ve-pvac,surv,0.8998526723999156,0.003882963177622494,293225.734,0.3,0.3,1,1,1,1,1,1,1,1,1,0.05,0.9,500000
special_no,ve-pvac,surv,0.10101049506696641,0.011062505100842697,298487.506,0.3,0.3,1,1,1,1,1,1,1,1,1,0.1,0.1,500000
special_no,ve-pvac,surv,0.20033502959542254,0.01081674719876279,297016.88,0.3,0.3,1,1,1,1,1,1,1,1,1,0.1,0.2,500000
special_no,ve-pvac,surv,0.29971453161917333,0.008871096926753539,295513.562,0.3,0.3,1,1,1,1,1,1,1,1,1,0.1,0.30000000000000004,500000
special_no,ve-pvac,surv,0.40009728846835024,0.008100344020648416,294010.296,0.3,0.3,1,1,1,1,1,1,1,1,1,0.1,0.4,500000
special_no,ve-pvac,surv,0.5000622210836273,0.0069561656678315134,292491.896,0.3,0.3,1,1,1,1,1,1,1,1,1,0.1,0.5,500000
special_no,ve-pvac,surv,0.5997310644652537,0.006116114071056694,291031.144,0.3,0.3,1,1,1,1,1,1,1,1,1,0.1,0.6,500000
special_no,ve-pvac,surv,0.7002756720480872,0.00530371772209447,289500.062,0.3,0.3,1,1,1,1,1,1,1,1,1,0.1,0.7000000000000001,500000
special_no,ve-pvac,surv,0.7999480403687652,0.004064580207010588,287973.072,0.3,0.3,1,1,1,1,1,1,1,1,1,0.1,0.8,500000
special_no,ve-pvac,surv,0.8998387660676407,0.002689553447870317,286510.022,0.3,0.3,1,1,1,1,1,1,1,1,1,0.1,0.9,500000
special_no,ve-pvac,surv,0.10018368019842613,0.009071532037369146,297748.308,0.3,0.3,1,1,1,1,1,1,1,1,1,0.15000000000000002,0.1,500000
special_no,ve-pvac,surv,0.20002187804990884,0.008143083558518237,295486.95,0.3,0.3,1,1,1,1,1,1,1,1,1,0.15000000000000002,0.2,500000
special_no,ve-pvac,surv,0.30039213042493873,0.007736210641755606,293244.104,0.3,0.3,1,1,1,1,1,1,1,1,1,0.15000000000000002,0.30000000000000004,500000
special_no,ve-pvac,surv,0.39957408436188885,0.006933522842757059,290974.67,0.3,0.3,1,1,1,1,1,1,1,1,1,0.15000000000000002,0.4,500000
special_no,ve-pvac,surv,0.5002888891953285,0.006099732681249216,288778.82,0.3,0.3,1,1,1,1,1,1,1,1,1,0.15000000000000002,0.5,500000
special_no,ve-pvac,surv,0.6001710141878699,0.005234048062480346,286516.676,0.3,0.3,1,1,1,1,1,1,1,1,1,0.15000000000000002,0.6,500000
special_no,ve-pvac,surv,0.6996956237925648,0.004239980775598245,284253.084,0.3,0.3,1,1,1,1,1,1,1,1,1,0.15000000000000002,0.7000000000000001,500000
