name,vary_name,type,ve_est_mean,ve_est_sd,n_study_mean,pflu,ve,pnonflu,sympt,clin,test_clin,test_nonclin,sens_vac,spec_vac,sens_flu,spec_flu,prop,pvac,nsam
adults,test_nonclin,admin,0.28063651941919704,0.017975589861367897,52730.36,0.08,0.5,0.15,0.84,1,0.35,0.05,0.95,0.8,0.86,0.984,1,0.25,500000
adults,test_nonclin,admin,0.2796147979154586,0.015309913420259,73094.968,0.08,0.5,0.15,0.84,1,0.35,0.1,0.95,0.8,0.86,0.984,1,0.25,500000
adults,sens_vac,admin,0.262519545206329,0.016365500607305232,93454.75,0.08,0.5,0.15,0.84,1,0.35,0.15,0.9,0.8,0.86,0.984,1,0.25,500000
adults,sens_vac,admin,0.2656422186423149,0.01576572363820941,93467.74,0.08,0.5,0.15,0.84,1,0.35,0.15,0.91,0.8,0.86,0.984,1,0.25,500000
adults,sens_vac,admin,0.26687335502568166,0.01643484172386934,93497.24,0.08,0.5,0.15,0.84,1,0.35,0.15,0.92,0.8,0.86,0.984,1,0.25,500000
adults,sens_vac,admin,0.26976336020323366,0.01581604418777695,93475.436,0.08,0.5,0.15,0.84,1,0.35,0.15,0.93,0.8,0.86,0.984,1,0.25,500000
adults,sens_vac,admin,0.2727153694263533,0.016620055162048706,93491.39,0.08,0.5,0.15,0.84,1,0.35,0.15,0.9400000000000001,0.8,0.86,0.984,1,0.25,500000
adults,spec_vac,admin,0.16603330032555755,0.016590944169963394,93511.612,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.5,0.86,0.984,1,0.25,500000
adults,spec_vac,admin,0.1794902647595827,0.017236897995092055,93491.45,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.55,0.86,0.984,1,0.25,500000
adults,spec_vac,admin,0.19430878849140082,0.01694347044046901,93487.354,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.6,0.86,0.984,1,0.25,500000
adults,spec_vac,admin,0.21044949538713908,0.01606248120030273,93468,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.65,0.86,0.984,1,0.25,500000
adults,spec_vac,admin,0.2279281134070578,0.016004938626346346,93466.896,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.7,0.86,0.984,1,0.25,500000
adults,spec_vac,admin,0.2503113450377965,0.016269483402623644,93460.18,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.75,0.86,0.984,1,0.25,500000
adults,sens_flu,admin,0.24299927424594822,0.019797063192383602,93478.494,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.5,0.984,1,0.25,500000
adults,sens_flu,admin,0.24953028205329675,0.01969308204472798,93478.884,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.55,0.984,1,0.25,500000
adults,sens_flu,admin,0.2541901437922802,0.018575212557004377,93489.764,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.6,0.984,1,0.25,500000
adults,sens_flu,admin,0.2578366591497535,0.017432497438733107,93469.224,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.65,0.984,1,0.25,500000
adults,sens_flu,admin,0.2635535162120405,0.017400593574749088,93482.144,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.7,0.984,1,0.25,500000
adults,sens_flu,admin,0.2696506017749719,0.017016629350042074,93453.284,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.75,0.984,1,0.25,500000
adults,sens_flu,admin,0.2706348265912615,0.01700877756117538,93479.174,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.8,0.984,1,0.25,500000
adults,sens_flu,admin,0.2731561653322567,0.015820216615765673,93464.874,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.8500000000000001,0.984,1,0.25,500000
adults,spec_flu,admin,0.17314582544459223,0.014734061972174658,93478.534,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.9,1,0.25,500000
adults,spec_flu,admin,0.18044423431524287,0.014597349802978317,93475.928,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.91,1,0.25,500000
adults,spec_flu,admin,0.19081091193457456,0.014032972150023571,93488.906,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.92,1,0.25,500000
adults,spec_flu,admin,0.20017471907296636,0.014886351849883055,93473.042,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.93,1,0.25,500000
adults,spec_flu,admin,0.21040905434280185,0.01495140926175639,93495.148,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.9400000000000001,1,0.25,500000
adults,spec_flu,admin,0.22322055509733618,0.014776651379879647,93479.884,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.9500000000000001,1,0.25,500000
adults,spec_flu,admin,0.23606564313505987,0.015151723482971844,93468.116,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.96,1,0.25,500000
adults,spec_flu,admin,0.25067388003280167,0.015065192061592883,93463.916,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.97,1,0.25,500000
adults,spec_flu,admin,0.26806925058232456,0.015495496761250057,93492.102,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.98,1,0.25,500000
adults,pvac,admin,0.09187384861554919,0.021131884339483105,94151.448,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.05,500000
adults,pvac,admin,0.15840919472171708,0.01889562899702296,93978.614,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.1,500000
adults,pvac,admin,0.20642030834179945,0.0166953157591015,93821.514,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.15000000000000002,500000
adults,pvac,admin,0.24521982249495955,0.017015317777374764,93651.138,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.2,500000
adults,pflu,admin,0.274726228550604,0.01646769521469152,93491.804,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pvac,admin,0.2758231064472373,0.015580832876686285,93504.718,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,spec_vac,admin,0.27561121092741697,0.014933297942399485,93489.888,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,ve,admin,0.27527347799421853,0.01561818576013837,93496.342,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pvac,admin,0.29963865245922516,0.014739813374581,93323.358,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.3,500000
adults,pvac,admin,0.3195037286595094,0.01471039687531139,93135.214,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.35000000000000003,500000
adults,pvac,admin,0.33755740211919616,0.014146049608874358,92991.5,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.4,500000
adults,pvac,admin,0.35097804777911473,0.01355547226037603,92821.962,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.45,500000
adults,pvac,admin,0.36089202001832227,0.013155087414532397,92628.434,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.5,500000
adults,spec_flu,admin,0.28592779577481914,0.015072876467331409,93467.86,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.99,1,0.25,500000
adults,spec_flu,admin,0.3090287767988796,0.015907944638430604,93471.492,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,1,1,0.25,500000
adults,sens_flu,admin,0.27896363750577335,0.014713495418960958,93487.058,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.9,0.984,1,0.25,500000
adults,sens_flu,admin,0.2817038150712774,0.015321388844348586,93476.318,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.95,0.984,1,0.25,500000
adults,sens_flu,admin,0.2843348150875679,0.014368407763815613,93486.9,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,1,0.984,1,0.25,500000
adults,spec_vac,admin,0.30619457918956194,0.01565704502050802,93476.036,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8500000000000001,0.86,0.984,1,0.25,500000
adults,spec_vac,admin,0.3429003742628057,0.01635766552933146,93468.864,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.9,0.86,0.984,1,0.25,500000
adults,spec_vac,admin,0.38993354912257255,0.014766229096689875,93490.84,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,0.95,0.86,0.984,1,0.25,500000
adults,spec_vac,admin,0.4531147414715535,0.014741682226870188,93479.66,0.08,0.5,0.15,0.84,1,0.35,0.15,0.95,1,0.86,0.984,1,0.25,500000
adults,sens_vac,admin,0.27682291276127663,0.01641760818761236,93495.806,0.08,0.5,0.15,0.84,1,0.35,0.15,0.9500000000000001,0.8,0.86,0.984,1,0.25,500000
adults,sens_vac,admin,0.27820476123450216,0.016041864931066015,93471.006,0.08,0.5,0.15,0.84,1,0.35,0.15,0.96,0.8,0.86,0.984,1,0.25,500000
adults,sens_vac,admin,0.27973426678294894,0.015378832597842677,93469.162,0.08,0.5,0.15,0.84,1,0.35,0.15,0.97,0.8,0.86,0.984,1,0.25,500000
adults,sens_vac,admin,0.282387556976945,0.01554187503188067,93495.796,0.08,0.5,0.15,0.84,1,0.35,0.15,0.98,0.8,0.86,0.984,1,0.25,500000
adults,sens_vac,admin,0.28577301805958516,0.014714248273381282,93472.416,0.08,0.5,0.15,0.84,1,0.35,0.15,0.99,0.8,0.86,0.984,1,0.25,500000
adults,sens_vac,admin,0.28718339572174906,0.015206015838575284,93448.022,0.08,0.5,0.15,0.84,1,0.35,0.15,1,0.8,0.86,0.984,1,0.25,500000
adults,test_nonclin,admin,0.27452160820865645,0.01554771688399708,93448.022,0.08,0.5,0.15,0.84,1,0.35,0.15000000000000002,0.95,0.8,0.86,0.984,1,0.25,500000
adults,test_nonclin,admin,0.27012660446485887,0.015101016781633102,113872.024,0.08,0.5,0.15,0.84,1,0.35,0.2,0.95,0.8,0.86,0.984,1,0.25,500000
adults,test_nonclin,admin,0.2655924361402138,0.014627307697060127,134229.096,0.08,0.5,0.15,0.84,1,0.35,0.25,0.95,0.8,0.86,0.984,1,0.25,500000
adults,test_nonclin,admin,0.2604936811818476,0.014851396324256062,154623.268,0.08,0.5,0.15,0.84,1,0.35,0.3,0.95,0.8,0.86,0.984,1,0.25,500000
adults,test_clin,admin,0.2771323980326891,0.014412131217107372,98087.694,0.08,0.5,0.15,0.84,1,0.4,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,test_clin,admin,0.2779245265586705,0.013472508913573327,107355.186,0.08,0.5,0.15,0.84,1,0.5,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,test_clin,admin,0.2803422611004047,0.012408317604559765,116571.106,0.08,0.5,0.15,0.84,1,0.6,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,test_clin,admin,0.28126411647283955,0.011704763115442478,125839.702,0.08,0.5,0.15,0.84,1,0.7000000000000001,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,test_clin,admin,0.28179577777516823,0.01047181841812592,135081.19,0.08,0.5,0.15,0.84,1,0.8,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,test_clin,admin,0.2816997147192216,0.010977819981281483,144291,0.08,0.5,0.15,0.84,1,0.9,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,sympt,admin,0.2746765488673834,0.01535141339414978,94774.922,0.08,0.5,0.15,0.9,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pnonflu,admin,0.2747199721112186,0.015980887398982294,94328.744,0.08,0.5,0.16,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pnonflu,admin,0.2745490192758637,0.015878633839308463,95996.008,0.08,0.5,0.18,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pnonflu,admin,0.2739186268849465,0.016121574545137032,97671.64,0.08,0.5,0.2,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pnonflu,admin,0.2715957052541486,0.015084911669424186,99382.008,0.08,0.5,0.22,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pnonflu,admin,0.2720569288368035,0.015879209140801147,101035.572,0.08,0.5,0.24000000000000002,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pnonflu,admin,0.2714547455919832,0.015769928101156145,102718.9,0.08,0.5,0.26,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
